model_name,shot_strategy,planning,procedural,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,procedural_code_hash,description_style,description_detail
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,12,0.2941,5,5,f23f2e71d17edb1929932ef872611ec6c9a4b08a96310e92f6f6580c8c99a754,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.55,5,5,f23f2e71d17edb1929932ef872611ec6c9a4b08a96310e92f6f6580c8c99a754,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,11,0.35,5,5,f23f2e71d17edb1929932ef872611ec6c9a4b08a96310e92f6f6580c8c99a754,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,4,0.5,5,5,f23f2e71d17edb1929932ef872611ec6c9a4b08a96310e92f6f6580c8c99a754,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,7,0.4444,2,1,1b293c3bcdfea3d1e93f303e082860f0c5b617803d40eee3c180fcae90d92f39,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.7143,2,1,1b293c3bcdfea3d1e93f303e082860f0c5b617803d40eee3c180fcae90d92f39,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.7143,2,1,1b293c3bcdfea3d1e93f303e082860f0c5b617803d40eee3c180fcae90d92f39,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,5,0.5,2,1,1b293c3bcdfea3d1e93f303e082860f0c5b617803d40eee3c180fcae90d92f39,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,14,0.45,4,5,a474822d8fb5ad97ed6829f0398ba90234cc75d3525434a16d6df411760203e8,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.5238,4,5,a474822d8fb5ad97ed6829f0398ba90234cc75d3525434a16d6df411760203e8,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,17,0.2632,4,5,a474822d8fb5ad97ed6829f0398ba90234cc75d3525434a16d6df411760203e8,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,19,0.5,4,5,a474822d8fb5ad97ed6829f0398ba90234cc75d3525434a16d6df411760203e8,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,8,0.4615,2,3,50172d92ed6b7a7e4f129470c962eaae5e2a4798af8e12134dd72354eaece656,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.5714,2,3,50172d92ed6b7a7e4f129470c962eaae5e2a4798af8e12134dd72354eaece656,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,7,0.1765,2,3,50172d92ed6b7a7e4f129470c962eaae5e2a4798af8e12134dd72354eaece656,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.5,2,3,50172d92ed6b7a7e4f129470c962eaae5e2a4798af8e12134dd72354eaece656,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.5,3,3,cfa0d7472f1d7027288ea3e64574041e8c8d8e951268ea768fd2f7e8161efe6c,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.6,3,3,cfa0d7472f1d7027288ea3e64574041e8c8d8e951268ea768fd2f7e8161efe6c,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.1667,3,3,cfa0d7472f1d7027288ea3e64574041e8c8d8e951268ea768fd2f7e8161efe6c,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.5,3,3,cfa0d7472f1d7027288ea3e64574041e8c8d8e951268ea768fd2f7e8161efe6c,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,16,0.3889,5,1,866f9b6aaa5ec6630bc67b5a2cc6ba30604cc536ccb4d4a44a852e4d05d1d679,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,27,0.4583,5,1,866f9b6aaa5ec6630bc67b5a2cc6ba30604cc536ccb4d4a44a852e4d05d1d679,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,19,0.3478,5,1,866f9b6aaa5ec6630bc67b5a2cc6ba30604cc536ccb4d4a44a852e4d05d1d679,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,14,0.4583,5,1,866f9b6aaa5ec6630bc67b5a2cc6ba30604cc536ccb4d4a44a852e4d05d1d679,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.2667,3,5,1d8b73388473ceb92cb2ef3af73344bdd209cd57c7f283a2870a34fcdbfabe8f,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.5294,3,5,1d8b73388473ceb92cb2ef3af73344bdd209cd57c7f283a2870a34fcdbfabe8f,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,8,0.2353,3,5,1d8b73388473ceb92cb2ef3af73344bdd209cd57c7f283a2870a34fcdbfabe8f,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,11,0.2632,3,5,1d8b73388473ceb92cb2ef3af73344bdd209cd57c7f283a2870a34fcdbfabe8f,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.4167,2,2,b54d7e313603a4f43b449d9d778ffb7e66cdbc04dd45befb566e4cdbdc51ea88,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.3571,2,2,b54d7e313603a4f43b449d9d778ffb7e66cdbc04dd45befb566e4cdbdc51ea88,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.3333,2,2,b54d7e313603a4f43b449d9d778ffb7e66cdbc04dd45befb566e4cdbdc51ea88,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,9,0.25,2,2,b54d7e313603a4f43b449d9d778ffb7e66cdbc04dd45befb566e4cdbdc51ea88,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,21,0.2632,5,3,c8727bab811939dde6091d6b99cb1518407b684e4ca85ce78af5ce01d9df819a,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.44,5,3,c8727bab811939dde6091d6b99cb1518407b684e4ca85ce78af5ce01d9df819a,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Failed,20,0.3043,5,3,c8727bab811939dde6091d6b99cb1518407b684e4ca85ce78af5ce01d9df819a,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,14,0.3571,5,3,c8727bab811939dde6091d6b99cb1518407b684e4ca85ce78af5ce01d9df819a,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,1,0.2857,1,2,7c56874591ee8f0d6e198b4c76c3a37d25b0aa6a90d944f9b768c552a8f4f54d,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,8,0.25,1,2,7c56874591ee8f0d6e198b4c76c3a37d25b0aa6a90d944f9b768c552a8f4f54d,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,7,0.2,1,2,7c56874591ee8f0d6e198b4c76c3a37d25b0aa6a90d944f9b768c552a8f4f54d,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,11,0.1538,1,2,7c56874591ee8f0d6e198b4c76c3a37d25b0aa6a90d944f9b768c552a8f4f54d,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,2,0.6364,3,5,5a17bf9192be0cd826244766e62b2542e11dcda6b8a06f1fd58652097dfcd64f,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.6364,3,5,5a17bf9192be0cd826244766e62b2542e11dcda6b8a06f1fd58652097dfcd64f,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,4,0.5833,3,5,5a17bf9192be0cd826244766e62b2542e11dcda6b8a06f1fd58652097dfcd64f,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.5385,3,5,5a17bf9192be0cd826244766e62b2542e11dcda6b8a06f1fd58652097dfcd64f,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,8,0.4706,4,1,902e1c1d27a032e841ec3ee9def261f78c00cc880373cd7378f1a2bcbe8420e6,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,0,0.4737,4,1,902e1c1d27a032e841ec3ee9def261f78c00cc880373cd7378f1a2bcbe8420e6,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,15,0.4211,4,1,902e1c1d27a032e841ec3ee9def261f78c00cc880373cd7378f1a2bcbe8420e6,narrative,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.4737,4,1,902e1c1d27a032e841ec3ee9def261f78c00cc880373cd7378f1a2bcbe8420e6,narrative,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,6,0.4667,4,3,e3a29a41b1010fc5793aabe47f23cb40ae733af4c0a85503c3999305fe62ab65,technical,summary
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,3,0.6875,4,3,e3a29a41b1010fc5793aabe47f23cb40ae733af4c0a85503c3999305fe62ab65,technical,detailed
gemini-2.5-flash,oneshot,1,1,999,999,999,999,Passed,10,0.3,4,3,e3a29a41b1010fc5793aabe47f23cb40ae733af4c0a85503c3999305fe62ab65,narrative,summary
