input,context,output,task,Passed,creative_alignment,instruction_following,emergence
a plane drops a bomb,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Bomber Drop"",
  ""components"": [
    {
      ""componentType"": ""projectile"",
      ""radius"": 10,
      ""speed"": 12,
      ""gravity"": 0.1
    },
    {
      ""componentType"": ""element"",
      ""element"": ""neutral""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [192, 192, 192]
    },
    {
      ""componentType"": ""spawnAngle"",
      ""angle"": 270
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 18
    },
    {
      ""componentType"": ""impactTrigger"",
      ""reps"": 1,
      ""replace"": true,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 128
        },
        {
          ""componentType"": ""element"",
          ""element"": ""fire""
        },
        {
          ""componentType"": ""color"",
          ""rgb"": [255, 140, 30]
        }
      ]
    }
  ]
}",spellScripting,1,2,1,1
a pointy heavy carrot drops onto the enemys head and explodes.,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Carrot Dropper"",
  ""components"": [
    {
      ""componentType"": ""projectile"",
      ""radius"": 4,
      ""speed"": 13,
      ""gravity"": 0.45
    },
    {
      ""componentType"": ""element"",
      ""element"": ""earth""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [255, 130, 30]
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 16
    },
    {
      ""componentType"": ""impactTrigger"",
      ""reps"": 1,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 80
        },
        {
          ""componentType"": ""element"",
          ""element"": ""earth""
        },
        {
          ""componentType"": ""color"",
          ""rgb"": [255, 150, 30]
        },
        {
          ""componentType"": ""deathTrigger"",
          ""payload_components"": [
            {
              ""componentType"": ""manifestation"",
              ""radius"": 7,
              ""material_properties"": {
                ""class"": ""solid"",
                ""color_rgb"": [255, 130, 30],
                ""blockpath"": true,
                ""density"": 2,
                ""elements"": [""earth""],
                ""lifespan"": 3
              }
            }
          ]
        }
      ]
    }
  ]
}",spellScripting,1,4,3,5
A spiky cactus with sharp spines that stick onto enemys,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]",Model failed to produce an output,spellScripting,0,1,1,1
A machine gun that knocks back any enemy it touches,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Bulwark Barrage"",
  ""count"": 5,
  ""components"": [
    {
      ""componentType"": ""projectile"",
      ""radius"": 3,
      ""speed"": 18,
      ""gravity"": 0.2
    },
    {
      ""componentType"": ""element"",
      ""element"": ""neutral""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [150, 150, 170]
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 14
    },
    {
      ""componentType"": ""impactTrigger"",
      ""reps"": 1,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 100
        },
        {
          ""componentType"": ""element"",
          ""element"": ""neutral""
        }
      ]
    }
  ]
}",spellScripting,1,5,4,3
a bull stampedes through the enemys and knocks them off the ledge,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Rampaging Bull Charge"",
  ""components"": [
    {
      ""componentType"": ""projectile"",
      ""radius"": 14,
      ""speed"": 17,
      ""gravity"": 0.3
    },
    {
      ""componentType"": ""element"",
      ""element"": ""earth""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [140, 90, 30]
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 22
    },
    {
      ""componentType"": ""impactTrigger"",
      ""reps"": 1,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 128
        },
        {
          ""componentType"": ""element"",
          ""element"": ""earth""
        },
        {
          ""componentType"": ""wallCrawl"",
          ""radius"": 8,
          ""speed"": 20
        },
        {
          ""componentType"": ""element"",
          ""element"": ""earth""
        },
        {
          ""componentType"": ""color"",
          ""rgb"": [120, 80, 20]
        }
      ]
    }
  ]
}",spellScripting,1,3,3,2
a bomb that explodes and releases pink roses that have sharp thorns that hurt,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Rose Bomb Burst"",
  ""components"": [
    {
      ""componentType"": ""projectile"",
      ""radius"": 8,
      ""speed"": 14,
      ""gravity"": 0.25
    },
    {
      ""componentType"": ""element"",
      ""element"": ""plant""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [230, 70, 160]
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 14
    },
    {
      ""componentType"": ""impactTrigger"",
      ""replace"": true,
      ""reps"": 1,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 80
        },
        {
          ""componentType"": ""element"",
          ""element"": ""plant""
        },
        {
          ""componentType"": ""color"",
          ""rgb"": [255, 100, 180]
        },
        {
          ""componentType"": ""deathTrigger"",
          ""count"": 6,
          ""payload_components"": [
            {
              ""componentType"": ""manifestation"",
              ""radius"": 3,
              ""material_properties"": {
                ""class"": ""powder"",
                ""color_rgb"": [245, 110, 200],
                ""blockpath"": false,
                ""density"": 1,
                ""elements"": [""plant""],
                ""harmful"": true
              }
            }
          ]
        }
      ]
    }
  ]
}",spellScripting,1,5,5,3
A super powerful laser beam that zaps people a lot,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]",Model failed to produce an output,spellScripting,0,1,1,1
a pile of squirmy snakes that slither around and have venomous bites,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{
  ""friendlyName"": ""Venom Swarm"",
  ""count"": 5,
  ""components"": [
    {
      ""componentType"": ""wallCrawl"",
      ""radius"": 7,
      ""speed"": 10
    },
    {
      ""componentType"": ""element"",
      ""element"": ""poison""
    },
    {
      ""componentType"": ""color"",
      ""rgb"": [60, 135, 50]
    },
    {
      ""componentType"": ""manaCost"",
      ""cost"": 15
    },
    {
      ""componentType"": ""impactTrigger"",
      ""reps"": 1,
      ""payload_components"": [
        {
          ""componentType"": ""explosion"",
          ""radius"": 120
        },
        {
          ""componentType"": ""element"",
          ""element"": ""poison""
        },
        {
          ""componentType"": ""color"",
          ""rgb"": [90, 200, 70]
        }
      ]
    }
  ]
}",spellScripting,1,4,4,3
Lots of ink from a pen,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{""planning"":""The spell evokes the image of a pen releasing a large amount of ink, best represented by a projectile shaped like a droplet of ink. Upon impact, the ink should spread, so an impactTrigger will manifest a pool of liquid, black-colored ink. The neutral element fits an inert ink, and the manifestation will have a moderate radius and density to feel substantial but not harmful."",""friendlyName"":""Ink Burst Pen"",""count"":1,""components"":[{""componentType"":""projectile"",""radius"":3,""speed"":14,""gravity"":0.2},{""componentType"":""element"",""element"":""neutral""},{""componentType"":""color"",""rgb"":[20,20,28]},{""componentType"":""manaCost"",""cost"":5},{""componentType"":""impactTrigger"",""replace"":true,""payload_components"":[{""componentType"":""manifestation"",""radius"":8,""material_properties"":{""class"":""liquid"",""color_rgb"":[20,20,28],""blockpath"":false,""density"":1,""elements"":[""neutral""],""lifespan"":8}}]}]}",spellScripting,1,5,5,4
Grow a tree and chop it down,"[""fire"",""water"",""ice"",""electric"",""poison"",""wind"",""earth"",""plant"",""neutral"",""healing""]","{""planning"":""To reflect growing a tree and chopping it down, I'll first use an aoe that represents a fast-growing effect in a small area, instantly manifesting a solid, plant-element tree. To represent chopping, I will utilize a buttonTrigger, which upon activation replaces the tree with a log manifestation (neutral/plant) and may also trigger a small explosion for a dramatic 'chop'. The sub-spells must repeat elements and manifest concrete objects, leveraging the available triggers and material properties."",
""friendlyName"":""Timber Growth Ritual"",
""components"":[
  {""componentType"":""aoe"",""radius"":120,""turns"":1},
  {""componentType"":""element"",""element"":""plant""},
  {""componentType"":""color"",""rgb"":[56,128,32]},
  {""componentType"":""manaCost"",""cost"":24},
  {""componentType"":""timerTrigger"",""secs"":0.25,""payload_components"":[
    {""componentType"":""manifestation"",""radius"":6,""material_properties"":{
      ""class"":""solid"",
      ""color_rgb"":[66,46,24],
      ""blockpath"":true,
      ""density"":2,
      ""elements"":[""plant"",""earth""],
      ""lifespan"":60
    }}
  ]},
  {""componentType"":""buttonTrigger"",""replace"":true,""payload_components"":[
    {""componentType"":""explosion"",""radius"":68},
    {""componentType"":""element"",""element"":""plant""},
    {""componentType"":""color"",""rgb"":[150,70,24]},
    {""componentType"":""manifestation"",""radius"":5,""material_properties"":{
      ""class"":""solid"",
      ""color_rgb"":[150,90,54],
      ""blockpath"":true,
      ""density"":2,
      ""elements"":[""plant"",""neutral""],
      ""lifespan"":30
    }}
  ]}
]}",spellScripting,1,2,1,3
