session_name,model_name,shot_strategy,planning,time
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,8
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,3
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,8
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,11
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,5
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,23
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,4
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,9
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,14
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,16
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,7
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,10
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,7
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,10
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,9
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,12
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,9
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,10
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,11
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,6
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,13
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,9
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,10
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,5
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,4
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,4
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,4
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,21
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,5
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,6
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,12
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,9
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,10
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,10
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,7
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,14
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,4
