problem_hash,input,model_name,shot_strategy,planning,procedural,judge_rationales_json,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,description_style,description_detail
b5b0275c54040def5c9ba325de4871d02ce37477404954db2bc3c386850ab12d,a plane drops a bomb,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the basic idea of a bomb being dropped, with a downward-moving projectile and an explosive impact, but misses the 'plane' aspect entirely and does not add any thematic detail beyond a generic bomb."", ""instructional_precision"": ""The response follows the implicit instruction for a bomb drop by using a projectile with downward angle and gravity, but lacks any explicit representation of a plane or aerial context, which is a notable omission."", ""emergence"": ""The implementation is competent but literal, simply translating 'bomb' into a projectile with explosion and not adding any creative or unexpected features such as a plane visual, sound, or multi-bomb drop."", ""structural_coherence"": ""The JSON is structurally valid, with correct use of components and nesting, and no logical contradictions.""}",3,3,2,5,Passed,,,,,,
24673a290836ebf912fda5e48a388a29b9edd65623ce9c8295aec9c4df7d7152,a pointy heavy carrot drops onto the enemys head and explodes.,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a heavy object (the carrot) dropping and exploding, but it misses the 'pointy' and 'plant' aspects, making it feel more like a generic earth projectile than a carrot-themed attack."", ""instructional_precision"": ""It follows the basic instructions of dropping a heavy object that explodes on impact, but omits the 'plant' element and does not visually or mechanically emphasize the 'pointy' or 'carrot' nature beyond color."", ""emergence"": ""The addition of a manifestation after the explosion is a nice touch, but it is a straightforward solid and does not add any surprising carrot-specific behavior or creative flair."", ""structural_coherence"": ""The JSON is structurally valid and logically consistent, with correct nesting and use of components, though the deathTrigger after explosion is a bit redundant since manifestation should generally be the final effect.""}",3,3,3,5,Passed,,,,,,
f884fd8073da9756fa772ee39d9e48c02b849d9fc25a0d4f3c403b92fcdae1f7,A spiky cactus with sharp spines that stick onto enemys,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The response is completely missing, so there is no attempt to capture the 'spiky cactus with sharp spines that stick onto enemies' theme."", ""instructional_precision"": ""No instructions were followed at all, as the response is not even valid JSON."", ""emergence"": ""There is no implementation, so there is no opportunity for creative or emergent features."", ""structural_coherence"": ""The response is not valid JSON, failing the most basic structural requirement.""}",1,1,1,1,Failed,,,,,,
d3cdb93f9076443211bfca059666ee6e5bccff205bf61335dca598522c8e1487,A machine gun that knocks back any enemy it touches,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell implements a rapid-fire projectile (machine gun) but fails to explicitly represent the knockback effect on enemies, instead using an explosion which may not directly translate to knockback."", ""instructional_precision"": ""While the spell uses multiple projectiles to simulate a machine gun and includes an impact effect, it does not clearly implement a knockback mechanic as requested in the prompt."", ""emergence"": ""The spell is a competent, literal translation of a machine gun with an impact effect, but does not add any clever or unexpected features beyond the basic requirements."", ""structural_coherence"": ""The JSON is structurally valid and uses allowed components correctly, but the use of an explosion for knockback is a logical stretch rather than a structural error.""}",3,2,2,5,Passed,,,,,,
36df46d5071c903a22739aa3cca8deba1e9dfd1a3fa279b28af7036d788ef88a,a bull stampedes through the enemys and knocks them off the ledge,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell evokes the idea of a forceful charge with earth-themed visuals, but it fails to directly represent a bull or the specific action of knocking enemies off a ledge, missing the animalistic and displacement aspects of the prompt."", ""instructional_precision"": ""While the spell uses earth and a fast projectile, it does not explicitly implement a mechanic to knock enemies off ledges or ensure a stampede effect, and the inclusion of both explosion and wallCrawl in the same impactTrigger is questionable."", ""emergence"": ""The response is a competent literal translation of a charging force but lacks any clever or surprising detail, such as enemy displacement or a bull manifestation, that would elevate the concept."", ""structural_coherence"": ""The JSON is structurally valid, but the use of multiple primary class components (explosion and wallCrawl) at the same trigger level is a logical flaw according to the component rules.""}",3,2,2,3,Passed,,,,,,
8faa033f4af34f74316f04020b55ec17250c9642497729bf42f85fbbf1d858f0,a bomb that explodes and releases pink roses that have sharp thorns that hurt,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a bomb that explodes and releases pink, harmful plant material, but it falls short of explicitly representing 'roses' or 'sharp thorns'\u2014the manifestation is a generic powder rather than a distinct rose or thorny object."", ""instructional_precision"": ""The script follows the main instructions by creating a bomb that explodes and releases a harmful plant substance, but it does not specifically manifest roses or thorns as requested, and uses 'powder' instead of a more fitting 'solid' or 'powder with thorns' representation."", ""emergence"": ""While the use of a deathTrigger to spawn multiple harmful plant manifestations is a nice touch, the spell does not add any clever or surprising features beyond the literal interpretation of the prompt."", ""structural_coherence"": ""The JSON is structurally valid and logically consistent with the component rules, but the use of 'deathTrigger' inside an 'impactTrigger' with 'replace: true' is slightly questionable, and the manifestation as 'powder' for roses is a minor logical stretch.""}",3,3,3,4,Passed,,,,,,
1d590e9a7198d1693e131b7aa7bcdb58f9d6131e57f0f83425833cc4f9e38939,A super powerful laser beam that zaps people a lot,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The response fails to capture any aspect of the 'super powerful laser beam' concept, as there is no spell script at all."", ""instructional_precision"": ""No instructions from the prompt are followed, since the response is not a valid spell script."", ""emergence"": ""There is no implementation, so there can be no creative or emergent features."", ""structural_coherence"": ""The response is not valid JSON and fails the syntactic validation, making it structurally unsound.""}",1,1,1,1,Failed,,,,,,
f3df4b931999a2764194f7883d1d1e6837842c89a15e1a8f39ac3a390f1f7c02,a pile of squirmy snakes that slither around and have venomous bites,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell uses wallCrawl to evoke slithering and poison element for venom, but it fails to manifest actual snakes or a pile, and the 'venomous bite' is abstracted as a generic explosion rather than a bite or attack."", ""instructional_precision"": ""While it captures the poison and slithering aspects, it ignores the 'pile' aspect and does not represent individual snakes or their bites in a concrete way, instead using a single explosion on impact."", ""emergence"": ""The spell is a straightforward translation of the prompt with no clever or surprising features, such as splitting into multiple snakes or leaving lingering venom."", ""structural_coherence"": ""The JSON is structurally valid and follows the component rules, but the impactTrigger's payload includes both an explosion and element/color, which is redundant but not strictly forbidden.""}",3,3,2,5,Passed,,,,,,
bcd77378a8021ee2242018ed450b94d234ea234dd40cb655e016a0b2dd22fd11,Lots of ink from a pen,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a pen releasing a burst of ink by using a projectile that manifests a large area of dark liquid, but it lacks any creative nuance or detail that would make it feel especially 'inky' or pen-like beyond the color and liquid class."", ""instructional_precision"": ""The response follows the basic instruction to create a lot of ink (via a large-radius liquid manifestation with appropriate color and neutral element), but does not address any possible nuance such as the method of dispersal or any pen-specific mechanics."", ""emergence"": ""The implementation is competent but literal, simply translating 'lots of ink' into a large liquid manifestation with no additional creative features such as splatter, staining, or interaction with the environment."", ""structural_coherence"": ""The JSON is structurally valid, uses only allowed components and properties, and is logically consistent with the rules.""}",3,3,2,5,Passed,,,,,,
eb5b16dfb811ec314d33c1670d8d3f9d62d9f8f4192da4aa8fa8232084d532c9,Grow a tree and chop it down,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of growing a tree and then chopping it down, but the chopping action is represented by an explosion and a new manifestation rather than a clear destruction or transformation of the original tree, missing some thematic nuance."", ""instructional_precision"": ""The response implements both the growth (manifestation of a tree) and a triggered 'chop' (via buttonTrigger), but the use of explosion as the chopping mechanism is imprecise and the sequence could be more logically connected."", ""emergence"": ""While the spell includes a button-triggered event for chopping, it does not introduce any clever or unexpected features beyond the literal interpretation of the prompt."", ""structural_coherence"": ""The JSON is valid and the components are mostly used correctly, but the use of both an explosion and a manifestation in the same buttonTrigger payload is questionable, as it may not clearly represent a single logical outcome.""}",3,3,2,3,Passed,,,,,,
