problem_hash,model_name,shot_strategy,planning,procedural,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,description_style,description_detail
06594e414b68e99653cef674cb64e0cd1acfe66f7a46e40a27f6e8fa451f58e9,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,2.0,5.0,Passed,,,,,technical,detailed
113b594bd468ce14ec650e25e7975f15b62bee3436db2066fdcf7d074cac005d,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,3.0,5.0,Passed,,,,,technical,detailed
21ce6bf1820be7c557003415df5506c682903c3c03bf2f597b7518e1e1726cfb,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,1.0,5.0,Passed,,,,,technical,detailed
27014aa5c1f7ac898e3a591d0f94a2666181c58b922c6bebdb84df0f69760f64,gemma-3-4b-it,fewshot,0,0.0,3.0,2.0,2.0,3.0,Passed,,,,,technical,detailed
2ac1503c62ad7302498773d2ecc7e0cd5ae79ae7f8cf2e71c4c4827cfd573dd9,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,1.0,5.0,Passed,,,,,technical,detailed
2c69029d895df62954cbe1c5a49f874e5d627223376786bb8e74150a08a8289c,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,5.0,Passed,,,,,technical,detailed
3508d042936e0ec0b910de0ea26552c53604d10edf6d180d3694bcf8c360b9e7,gemma-3-4b-it,fewshot,0,0.0,3.0,2.0,2.0,5.0,Passed,,,,,technical,detailed
3588f4847925bb487665de7e3163710d6dfc8a14ef5707989fa49cacf256e56d,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,5.0,Passed,,,,,technical,detailed
378296504684ab35ed196490939ed5585840845b11ddeb9e0991cad561598524,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,1.0,5.0,Passed,,,,,technical,detailed
38926326611a0a8d6655f54db6adb85d9b9060feedb11dec618d1ccb621f48f6,gemma-3-4b-it,fewshot,0,0.0,2.0,1.0,1.0,4.0,Passed,,,,,technical,detailed
417a12451d7d1f095e37ede5c918cdc560f0fd632d1e9c9a4b25d8d912fe98fb,gemma-3-4b-it,fewshot,0,0.0,3.0,2.0,2.0,5.0,Passed,,,,,technical,detailed
50a2f973cd59cd45962d0a6c5a5da4eebc2695b2241317eaa4f8e683397b0cd9,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,2.0,5.0,Passed,,,,,technical,detailed
59b8e320e55463c3d4ec29767a293e8c51057fe7d8feebceaa73f644f7daf4c9,gemma-3-4b-it,fewshot,0,0.0,3.0,5.0,1.0,5.0,Passed,,,,,technical,detailed
60136dbd580fa0fcff3e7f02fc31265ffa4449f59e42d1d546704518e57985f4,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,3.0,5.0,Passed,,,,,technical,detailed
6415fd1417bd587e545abe63c7c164ba81873d5797ae67a951f96307b33380f4,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,5.0,Passed,,,,,technical,detailed
6cf3626c60d1937ec1b963aeef86afa56781e9e8ffa8c81dd3221139b610f266,gemma-3-4b-it,fewshot,0,0.0,4.0,3.0,3.0,5.0,Passed,,,,,technical,detailed
78f502a526e7e8f6d0652eb542c695ca21de9052ced0f05d5fe66d897d8eab9b,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,4.0,Passed,,,,,technical,detailed
7cc98f53464f1e2001401f9be353fef113c953f27c3c18017d7d7fac99dd00c3,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,2.0,5.0,Passed,,,,,technical,detailed
7d36244214c90db1d080288172d2978a389290dc11160cc7da3203705d399fa6,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,5.0,Passed,,,,,technical,detailed
812fe7a82e35f2646c7e8b10fbde20c5c3fa9611ff3e5538b2c50d91699644c1,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,5.0,Passed,,,,,technical,detailed
860008c6803f8a3c6e98ae6d5080376fd2437e5fdd345b32a0b0b6d7342f92a4,gemma-3-4b-it,fewshot,0,0.0,2.0,2.0,1.0,4.0,Passed,,,,,technical,detailed
8f1007f09923e4bf722a8ce7cb3486810217c18180585ffc400d1f10fb66a77a,gemma-3-4b-it,fewshot,0,0.0,1.0,1.0,1.0,5.0,Passed,,,,,technical,detailed
93b431dc781a4a7ef6ddf9b51d36a46a4b6ae9942065400ba55206f216af350d,gemma-3-4b-it,fewshot,0,0.0,3.0,3.0,2.0,5.0,Passed,,,,,technical,detailed
