problem_hash,model_name,shot_strategy,planning,procedural,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,description_style,description_detail
8905776068e8fa396b98857509faab222fead6c78b2880c82d3ab6ff860526da,claude-sonnet-4-20250514,fewshot,0,0,3,3,3,5,Passed,,,,,technical,detailed
9aa12dcb7885abb961cecbc232567ac9bb3ab471e1ecbdab94359c1d44a26e1d,claude-sonnet-4-20250514,fewshot,0,0,4,3,3,5,Passed,,,,,technical,detailed
7725ca7d0f707d8ba98964ffde017246958cbe2ebad6fd6eaed305f6b3f31057,claude-sonnet-4-20250514,fewshot,0,0,3,3,3,5,Passed,,,,,technical,detailed
167b0ab8924861fc4277f3866c11b2c5d04e754f2457deae1c7944dbbc5e4faa,claude-sonnet-4-20250514,fewshot,0,0,4,4,4,5,Passed,,,,,technical,detailed
4ce25a2f982ab9db2c3a45537eda7b33abf7d9fe21ea10185c57cabae3341fef,claude-sonnet-4-20250514,fewshot,0,0,4,4,3,5,Passed,,,,,technical,detailed
465299f61256d3912aad1a1f6497373a3684f9d39553de597ace19bb2b24f444,claude-sonnet-4-20250514,fewshot,0,0,4,3,4,5,Passed,,,,,technical,detailed
902624ede91131d00395c40dca77d799cd15fd5c7ba379e37c01e84e45b44390,claude-sonnet-4-20250514,fewshot,0,0,3,3,3,5,Passed,,,,,technical,detailed
bf6484ce49080f794bea72f44303d48b19d28a758b0a93dfe53ebdea23ea6dc5,claude-sonnet-4-20250514,fewshot,0,0,4,4,3,5,Passed,,,,,technical,detailed
fdac6bf482e969d6fd7413923797320da40052d08b68dd2e35f37609eaea3bd7,claude-sonnet-4-20250514,fewshot,0,0,3,2,1,5,Passed,,,,,technical,detailed
3ef549374afe1952ebe68d19e35f3837d0f7fd27539b30c287af4ed84e83e659,claude-sonnet-4-20250514,fewshot,0,0,4,3,4,5,Passed,,,,,technical,detailed
8905776068e8fa396b98857509faab222fead6c78b2880c82d3ab6ff860526da,claude-sonnet-4-20250514,fewshot,1,0,4,4,4,4,Passed,,,,,technical,detailed
9aa12dcb7885abb961cecbc232567ac9bb3ab471e1ecbdab94359c1d44a26e1d,claude-sonnet-4-20250514,fewshot,1,0,4,3,3,5,Passed,,,,,technical,detailed
7725ca7d0f707d8ba98964ffde017246958cbe2ebad6fd6eaed305f6b3f31057,claude-sonnet-4-20250514,fewshot,1,0,4,3,3,5,Passed,,,,,technical,detailed
167b0ab8924861fc4277f3866c11b2c5d04e754f2457deae1c7944dbbc5e4faa,claude-sonnet-4-20250514,fewshot,1,0,4,4,3,5,Passed,,,,,technical,detailed
4ce25a2f982ab9db2c3a45537eda7b33abf7d9fe21ea10185c57cabae3341fef,claude-sonnet-4-20250514,fewshot,1,0,4,4,3,5,Passed,,,,,technical,detailed
